Day ,Items ,Note ,Amount 
36,Rental Expense,Cash Payment - Rental - Chicago,1600
36,Rental Expense,Cash Payment - Rental - New York,2680
36,Rental Expense,Cash Payment - Rental - Miami,1120
36,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
36,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,1430
36,Rental Expense,Cash Payment - Rental - San Francisco,2240
35,Salary Expense,Cash Payment - Salary Expense,21465
35,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5065,212
35,Interest Expense ,Cash Payment - Interest - For Overdraft,3532
35,Depreciation Expense,Non-Cash Expense - Depreciation,10000
35,Rental Expense,Cash Payment - Rental - Detroit,1200
35,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,2520
35,Rental Expense,Cash Payment - Rental - Los Angeles,1080
35,Rental Expense,Cash Payment - Rental - Chicago,1600
35,Rental Expense,Cash Payment - Rental - New York,2680
35,Rental Expense,Cash Payment - Rental - Miami,1120
35,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
35,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,1560
35,Rental Expense,Cash Payment - Rental - San Francisco,2240
34,Salary Expense,Cash Payment - Salary Expense,21465
34,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 5391,21
34,Interest Expense ,Cash Payment - Interest - For Overdraft,3532
34,Depreciation Expense,Non-Cash Expense - Depreciation,10000
34,Rental Expense,Cash Payment - Rental - Detroit,1200
34,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,2610
34,Rental Expense,Cash Payment - Rental - Los Angeles,1080
34,Rental Expense,Cash Payment - Rental - Chicago,1600
34,Rental Expense,Cash Payment - Rental - New York,2680
34,Rental Expense,Cash Payment - Rental - Miami,1120
34,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
34,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,1560
34,Rental Expense,Cash Payment - Rental - San Francisco,2240
33,Human Resource Expense,Attended Training,15000
33,Human Resource Expense,Attended Training,15000
33,Salary Expense,Cash Payment - Salary Expense,21465
33,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 4818,25
