Day,Location ,Product ,Unit Sold ,Revenue ,COGS 
70,Los Angeles,Red Wine,195,6240,1919
70,Los Angeles,White Wine,186,6324,1586
70,New York,Sparkling Wine,432,12528,2164
70,New York,Red Wine,238,7616,2342
70,New York,White Wine,240,8160,2047
70,Miami,Sparkling Wine,29,841,145
70,Miami,Red Wine,32,1024,315
70,Miami,White Wine,31,1054,264
70,"Washington, D.C.",Sparkling Wine,44,1276,220
70,"Washington, D.C.",Red Wine,48,1536,472
70,"Washington, D.C.",White Wine,38,1292,324
70,San Francisco,Sparkling Wine,89,2581,446
70,San Francisco,Red Wine,52,1664,512
70,San Francisco,White Wine,52,1768,444
69,Los Angeles,Sparkling Wine,339,9831,1573
69,Los Angeles,Red Wine,189,6048,1870
69,Los Angeles,White Wine,179,6086,1521
69,New York,Sparkling Wine,436,12644,2023
69,New York,Red Wine,267,8544,2641
69,New York,White Wine,228,7752,1938
69,Miami,Sparkling Wine,31,899,144
69,Miami,Red Wine,30,960,297
69,Miami,White Wine,32,1088,272
69,"Washington, D.C.",Sparkling Wine,51,1479,237
69,"Washington, D.C.",Red Wine,45,1440,445
69,"Washington, D.C.",White Wine,44,1496,374
69,San Francisco,Sparkling Wine,88,2552,408
69,San Francisco,Red Wine,58,1856,574
69,San Francisco,White Wine,57,1938,484
68,Los Angeles,Sparkling Wine,336,9744,1559
68,Los Angeles,Red Wine,193,6176,1909
68,Los Angeles,White Wine,170,5780,1428
68,New York,Sparkling Wine,410,11890,1902
68,New York,Red Wine,257,8224,2542
68,New York,White Wine,216,7344,1814
68,Miami,Sparkling Wine,30,870,139
68,Miami,Red Wine,30,960,297
68,Miami,White Wine,32,1088,269
68,"Washington, D.C.",Sparkling Wine,49,1421,227
68,"Washington, D.C.",Red Wine,51,1632,504
68,"Washington, D.C.",White Wine,40,1360,336
68,San Francisco,Sparkling Wine,81,2349,376
68,San Francisco,Red Wine,59,1888,584
68,San Francisco,White Wine,56,1904,470
67,Los Angeles,Sparkling Wine,316,9164,1466
67,Los Angeles,Red Wine,195,6240,1945
67,Los Angeles,White Wine,166,5644,1426
67,New York,Sparkling Wine,458,13282,2125
67,New York,Red Wine,252,8064,2514
67,New York,White Wine,237,8058,2035
67,Miami,Sparkling Wine,29,841,135
67,Miami,Red Wine,28,896,279
67,Miami,White Wine,32,1088,275
67,"Washington, D.C.",Sparkling Wine,52,1508,241
67,"Washington, D.C.",Red Wine,47,1504,469
67,"Washington, D.C.",White Wine,45,1530,386
67,San Francisco,Sparkling Wine,84,2436,390
67,San Francisco,Red Wine,55,1760,549
67,San Francisco,White Wine,56,1904,481
66,Los Angeles,Sparkling Wine,346,10034,1607
66,Los Angeles,Red Wine,189,6048,1885
66,Los Angeles,White Wine,166,5644,1495
66,New York,Sparkling Wine,419,12151,1946
66,New York,Red Wine,255,8160,2544
66,New York,White Wine,235,7990,2117
66,Miami,Sparkling Wine,29,841,135
66,Miami,Red Wine,28,896,279
66,Miami,White Wine,31,1054,279
66,"Washington, D.C.",Sparkling Wine,49,1421,228
66,"Washington, D.C.",Red Wine,50,1600,499
66,"Washington, D.C.",White Wine,40,1360,360
66,San Francisco,Sparkling Wine,88,2552,409
66,San Francisco,Red Wine,58,1856,579
66,San Francisco,White Wine,58,1972,522
65,Los Angeles,Sparkling Wine,326,9454,1523
65,Los Angeles,Red Wine,189,6048,1885
65,Los Angeles,White Wine,170,5780,1531
65,New York,Sparkling Wine,458,13282,2140
65,New York,Red Wine,250,8000,2494
65,New York,White Wine,228,7752,2054
65,Miami,Sparkling Wine,30,870,140
65,Miami,Red Wine,29,928,289
65,Miami,White Wine,30,1020,270
